Neighbourhood,Indicator,Year,Forecast,MAE,RMSE,Model
Plan van Gool,Population| Age group |0 tot 15 year,2026,530.3333333333331,13.944444444444457,16.766644576968105,OLS
Plan van Gool,Population| Age group |0 tot 15 year,2027,528.0476190476188,13.944444444444457,16.766644576968105,OLS
Plan van Gool,Population| Age group |0 tot 15 year,2028,525.7619047619046,13.944444444444457,16.766644576968105,OLS
Planciusbuurt Noord,Population| Age group |0 tot 15 year,2026,25.0,5.000000074505806,5.000000074505806,EXP
Planciusbuurt Noord,Population| Age group |0 tot 15 year,2027,25.0,5.000000074505806,5.000000074505806,EXP
Planciusbuurt Noord,Population| Age group |0 tot 15 year,2028,25.0,5.000000074505806,5.000000074505806,EXP
Planciusbuurt Zuid,Population| Age group |0 tot 15 year,2026,15.0,3.333333333333341,3.333333333333341,OLS
Planciusbuurt Zuid,Population| Age group |0 tot 15 year,2027,16.0,3.333333333333341,3.333333333333341,OLS
Planciusbuurt Zuid,Population| Age group |0 tot 15 year,2028,17.0,3.333333333333341,3.333333333333341,OLS
Postjeskade e.o.,Population| Age group |0 tot 15 year,2026,324.66666666666663,23.722222222222115,31.559614371206386,OLS
Postjeskade e.o.,Population| Age group |0 tot 15 year,2027,319.095238095238,23.722222222222115,31.559614371206386,OLS
Postjeskade e.o.,Population| Age group |0 tot 15 year,2028,313.52380952380946,23.722222222222115,31.559614371206386,OLS
Prinses Irenebuurt,Population| Age group |0 tot 15 year,2026,279.0,32.5,37.88689307223102,Drift
Prinses Irenebuurt,Population| Age group |0 tot 15 year,2027,283.0,32.5,37.88689307223102,Drift
Prinses Irenebuurt,Population| Age group |0 tot 15 year,2028,287.0,32.5,37.88689307223102,Drift
Prinses Irenebuurt e.o.,Population| Age group |0 tot 15 year,2026,279.0,36.25,41.589511899035315,Drift
Prinses Irenebuurt e.o.,Population| Age group |0 tot 15 year,2027,283.0,36.25,41.589511899035315,Drift
Prinses Irenebuurt e.o.,Population| Age group |0 tot 15 year,2028,287.0,36.25,41.589511899035315,Drift
RI Oost terrein,Population| Age group |0 tot 15 year,2026,685.0000009685755,64.99999903142452,64.99999903142452,EXP
RI Oost terrein,Population| Age group |0 tot 15 year,2027,685.0000009685755,64.99999903142452,64.99999903142452,EXP
RI Oost terrein,Population| Age group |0 tot 15 year,2028,685.0000009685755,64.99999903142452,64.99999903142452,EXP
Ransdorp,Population| Age group |0 tot 15 year,2026,57.181408040355365,3.552218551954217,3.796860767525967,EXP
Ransdorp,Population| Age group |0 tot 15 year,2027,57.181408040355365,3.552218551954217,3.796860767525967,EXP
Ransdorp,Population| Age group |0 tot 15 year,2028,57.181408040355365,3.552218551954217,3.796860767525967,EXP
Rapenburg,Population| Age group |0 tot 15 year,2026,94.0,6.666666666666667,11.547005383792516,Drift
Rapenburg,Population| Age group |0 tot 15 year,2027,93.0,6.666666666666667,11.547005383792516,Drift
Rapenburg,Population| Age group |0 tot 15 year,2028,92.0,6.666666666666667,11.547005383792516,Drift
Rechte H-buurt,Population| Age group |0 tot 15 year,2026,559.9999994039536,31.666666716337204,32.78719276921638,EXP
Rechte H-buurt,Population| Age group |0 tot 15 year,2027,559.9999994039536,31.666666716337204,32.78719276921638,EXP
Rechte H-buurt,Population| Age group |0 tot 15 year,2028,559.9999994039536,31.666666716337204,32.78719276921638,EXP
Reguliersbuurt,Population| Age group |0 tot 15 year,2026,20.0,0.0,0.0,Drift
Reguliersbuurt,Population| Age group |0 tot 15 year,2027,20.0,0.0,0.0,Drift
Reguliersbuurt,Population| Age group |0 tot 15 year,2028,20.0,0.0,0.0,Drift
Reigersbos Midden,Population| Age group |0 tot 15 year,2026,349.9999997019768,19.999999701976776,19.999999701976776,EXP
Reigersbos Midden,Population| Age group |0 tot 15 year,2027,349.9999997019768,19.999999701976776,19.999999701976776,EXP
Reigersbos Midden,Population| Age group |0 tot 15 year,2028,349.9999997019768,19.999999701976776,19.999999701976776,EXP
Reigersbos Noord,Population| Age group |0 tot 15 year,2026,859.9999997764826,14.999999776482582,14.999999776482582,EXP
Reigersbos Noord,Population| Age group |0 tot 15 year,2027,859.9999997764826,14.999999776482582,14.999999776482582,EXP
Reigersbos Noord,Population| Age group |0 tot 15 year,2028,859.9999997764826,14.999999776482582,14.999999776482582,EXP
Reigersbos Zuid,Population| Age group |0 tot 15 year,2026,404.99540622089575,4.999999925494194,4.999999925494194,EXP
Reigersbos Zuid,Population| Age group |0 tot 15 year,2027,404.99540622089575,4.999999925494194,4.999999925494194,EXP
Reigersbos Zuid,Population| Age group |0 tot 15 year,2028,404.99540622089575,4.999999925494194,4.999999925494194,EXP
Rembrandtpark Noord,Population| Age group |0 tot 15 year,2026,70.00000000000001,3.3333333333333286,3.3333333333333286,OLS
Rembrandtpark Noord,Population| Age group |0 tot 15 year,2027,71.00000000000001,3.3333333333333286,3.3333333333333286,OLS
Rembrandtpark Noord,Population| Age group |0 tot 15 year,2028,72.00000000000003,3.3333333333333286,3.3333333333333286,OLS
Rembrandtpark Zuid,Population| Age group |0 tot 15 year,2026,77.55533836807084,14.999999776482582,14.999999776482582,EXP
Rembrandtpark Zuid,Population| Age group |0 tot 15 year,2027,77.55533836807084,14.999999776482582,14.999999776482582,EXP
Rembrandtpark Zuid,Population| Age group |0 tot 15 year,2028,77.55533836807084,14.999999776482582,14.999999776482582,EXP
Rembrandtpleinbuurt,Population| Age group |0 tot 15 year,2026,25.00000014901161,5.000000223517418,5.000000223517418,EXP
Rembrandtpleinbuurt,Population| Age group |0 tot 15 year,2027,25.00000014901161,5.000000223517418,5.000000223517418,EXP
Rembrandtpleinbuurt,Population| Age group |0 tot 15 year,2028,25.00000014901161,5.000000223517418,5.000000223517418,EXP
Riekerhaven,Population| Age group |0 tot 15 year,2026,26.0,9.305555555555555,13.821363629996593,Drift
Riekerhaven,Population| Age group |0 tot 15 year,2027,27.0,9.305555555555555,13.821363629996593,Drift
Riekerhaven,Population| Age group |0 tot 15 year,2028,28.0,9.305555555555555,13.821363629996593,Drift
Riekerpolder,Population| Age group |0 tot 15 year,2026,4.0,22.916666666666668,29.589201295968323,Drift
Riekerpolder,Population| Age group |0 tot 15 year,2027,3.0,22.916666666666668,29.589201295968323,Drift
Riekerpolder,Population| Age group |0 tot 15 year,2028,2.0,22.916666666666668,29.589201295968323,Drift
Rieteiland Oost,Population| Age group |0 tot 15 year,2026,119.99996723405161,9.999999850988388,9.999999850988388,EXP
Rieteiland Oost,Population| Age group |0 tot 15 year,2027,119.99996723405161,9.999999850988388,9.999999850988388,EXP
Rieteiland Oost,Population| Age group |0 tot 15 year,2028,119.99996723405161,9.999999850988388,9.999999850988388,EXP
Rietlanden,Population| Age group |0 tot 15 year,2026,309.99999947845936,18.333333407839138,21.794494694912963,EXP
Rietlanden,Population| Age group |0 tot 15 year,2027,309.99999947845936,18.333333407839138,21.794494694912963,EXP
Rietlanden,Population| Age group |0 tot 15 year,2028,309.99999947845936,18.333333407839138,21.794494694912963,EXP
Rijnbuurt,Population| Age group |0 tot 15 year,2026,930.0,55.97222222222221,78.43115936449786,Drift
Rijnbuurt,Population| Age group |0 tot 15 year,2027,925.0,55.97222222222221,78.43115936449786,Drift
Rijnbuurt,Population| Age group |0 tot 15 year,2028,920.0,55.97222222222221,78.43115936449786,Drift
Rijnbuurt Midden,Population| Age group |0 tot 15 year,2026,225.0000000745058,4.999999925494194,4.999999925494194,EXP
Rijnbuurt Midden,Population| Age group |0 tot 15 year,2027,225.0000000745058,4.999999925494194,4.999999925494194,EXP
Rijnbuurt Midden,Population| Age group |0 tot 15 year,2028,225.0000000745058,4.999999925494194,4.999999925494194,EXP
Rijnbuurt Oost,Population| Age group |0 tot 15 year,2026,273.02707862998824,9.999999850988388,9.999999850988388,EXP
Rijnbuurt Oost,Population| Age group |0 tot 15 year,2027,273.02707862998824,9.999999850988388,9.999999850988388,EXP
Rijnbuurt Oost,Population| Age group |0 tot 15 year,2028,273.02707862998824,9.999999850988388,9.999999850988388,EXP
Rijnbuurt West,Population| Age group |0 tot 15 year,2026,190.0,0.0,0.0,EXP
Rijnbuurt West,Population| Age group |0 tot 15 year,2027,190.0,0.0,0.0,EXP
Rijnbuurt West,Population| Age group |0 tot 15 year,2028,190.0,0.0,0.0,EXP
Robert Scottbuurt Oost,Population| Age group |0 tot 15 year,2026,194.9999999254942,4.999999925494194,4.999999925494194,EXP
Robert Scottbuurt Oost,Population| Age group |0 tot 15 year,2027,194.9999999254942,4.999999925494194,4.999999925494194,EXP
Robert Scottbuurt Oost,Population| Age group |0 tot 15 year,2028,194.9999999254942,4.999999925494194,4.999999925494194,EXP
Robert Scottbuurt West,Population| Age group |0 tot 15 year,2026,184.999999511609,0.49534883720815515,0.49534883720815515,EXP
Robert Scottbuurt West,Population| Age group |0 tot 15 year,2027,184.999999511609,0.49534883720815515,0.49534883720815515,EXP
Robert Scottbuurt West,Population| Age group |0 tot 15 year,2028,184.999999511609,0.49534883720815515,0.49534883720815515,EXP
Rode Kruisbuurt,Population| Age group |0 tot 15 year,2026,32.66666666666666,5.55555555555555,7.422438453270763,OLS
Rode Kruisbuurt,Population| Age group |0 tot 15 year,2027,34.38095238095237,5.55555555555555,7.422438453270763,OLS
Rode Kruisbuurt,Population| Age group |0 tot 15 year,2028,36.09523809523809,5.55555555555555,7.422438453270763,OLS
Sarphatiparkbuurt,Population| Age group |0 tot 15 year,2026,339.9999997019768,8.333333432674408,11.902380745536783,EXP
Sarphatiparkbuurt,Population| Age group |0 tot 15 year,2027,339.9999997019768,8.333333432674408,11.902380745536783,EXP
Sarphatiparkbuurt,Population| Age group |0 tot 15 year,2028,339.9999997019768,8.333333432674408,11.902380745536783,EXP
Sarphatistrook,Population| Age group |0 tot 15 year,2026,174.99999999999991,11.722222222222266,16.73347720168347,OLS
Sarphatistrook,Population| Age group |0 tot 15 year,2027,173.5714285714285,11.722222222222266,16.73347720168347,OLS
Sarphatistrook,Population| Age group |0 tot 15 year,2028,172.14285714285708,11.722222222222266,16.73347720168347,OLS
Scheepvaarthuisbuurt,Population| Age group |0 tot 15 year,2026,54.999999925494194,3.6102713674999998,5.793394322140436,EXP
Scheepvaarthuisbuurt,Population| Age group |0 tot 15 year,2027,54.999999925494194,3.6102713674999998,5.793394322140436,EXP
Scheepvaarthuisbuurt,Population| Age group |0 tot 15 year,2028,54.999999925494194,3.6102713674999998,5.793394322140436,EXP
Scheldebuurt,Population| Age group |0 tot 15 year,2026,2054.999997764826,78.33333383003871,94.38396765195142,EXP
Scheldebuurt,Population| Age group |0 tot 15 year,2027,2054.999997764826,78.33333383003871,94.38396765195142,EXP
Scheldebuurt,Population| Age group |0 tot 15 year,2028,2054.999997764826,78.33333383003871,94.38396765195142,EXP
Scheldebuurt Midden,Population| Age group |0 tot 15 year,2026,454.9999999254942,4.999999925494194,4.999999925494194,EXP
Scheldebuurt Midden,Population| Age group |0 tot 15 year,2027,454.9999999254942,4.999999925494194,4.999999925494194,EXP
Scheldebuurt Midden,Population| Age group |0 tot 15 year,2028,454.9999999254942,4.999999925494194,4.999999925494194,EXP
Scheldebuurt Oost,Population| Age group |0 tot 15 year,2026,309.9999998509884,9.999999850988388,9.999999850988388,EXP
Scheldebuurt Oost,Population| Age group |0 tot 15 year,2027,309.9999998509884,9.999999850988388,9.999999850988388,EXP
Scheldebuurt Oost,Population| Age group |0 tot 15 year,2028,309.9999998509884,9.999999850988388,9.999999850988388,EXP
Scheldebuurt West,Population| Age group |0 tot 15 year,2026,595.5171248246888,24.99999962747097,24.99999962747097,EXP
Scheldebuurt West,Population| Age group |0 tot 15 year,2027,595.5171248246888,24.99999962747097,24.99999962747097,EXP
Scheldebuurt West,Population| Age group |0 tot 15 year,2028,595.5171248246888,24.99999962747097,24.99999962747097,EXP
Schellingwoude Oost,Population| Age group |0 tot 15 year,2026,149.99999999999994,6.6666666666667425,6.6666666666667425,OLS
Schellingwoude Oost,Population| Age group |0 tot 15 year,2027,151.99999999999994,6.6666666666667425,6.6666666666667425,OLS
Schellingwoude Oost,Population| Age group |0 tot 15 year,2028,153.99999999999991,6.6666666666667425,6.6666666666667425,OLS
Schellingwoude West,Population| Age group |0 tot 15 year,2026,10.0,0.0,0.0,Drift
Schellingwoude West,Population| Age group |0 tot 15 year,2027,10.0,0.0,0.0,Drift
Schellingwoude West,Population| Age group |0 tot 15 year,2028,10.0,0.0,0.0,Drift
Schinkelbuurt,Population| Age group |0 tot 15 year,2026,374.9999990314245,30.000000273187954,39.370039442602945,EXP
Schinkelbuurt,Population| Age group |0 tot 15 year,2027,374.9999990314245,30.000000273187954,39.370039442602945,EXP
Schinkelbuurt,Population| Age group |0 tot 15 year,2028,374.9999990314245,30.000000273187954,39.370039442602945,EXP
Schinkelbuurt Noord,Population| Age group |0 tot 15 year,2026,209.9999998509884,9.999999850988388,9.999999850988388,EXP
Schinkelbuurt Noord,Population| Age group |0 tot 15 year,2027,209.9999998509884,9.999999850988388,9.999999850988388,EXP
Schinkelbuurt Noord,Population| Age group |0 tot 15 year,2028,209.9999998509884,9.999999850988388,9.999999850988388,EXP
Schinkelbuurt Zuid,Population| Age group |0 tot 15 year,2026,159.99999962747097,1.563953488372107,1.563953488372107,EXP
Schinkelbuurt Zuid,Population| Age group |0 tot 15 year,2027,159.99999962747097,1.563953488372107,1.563953488372107,EXP
Schinkelbuurt Zuid,Population| Age group |0 tot 15 year,2028,159.99999962747097,1.563953488372107,1.563953488372107,EXP
Schipluidenbuurt,Population| Age group |0 tot 15 year,2026,25.00000059604645,31.810070307482093,35.4005743678665,EXP
Schipluidenbuurt,Population| Age group |0 tot 15 year,2027,25.00000059604645,31.810070307482093,35.4005743678665,EXP
Schipluidenbuurt,Population| Age group |0 tot 15 year,2028,25.00000059604645,31.810070307482093,35.4005743678665,EXP
Science Park Noord,Population| Age group |0 tot 15 year,2026,170.0,6.666666666666686,6.666666666666686,OLS
Science Park Noord,Population| Age group |0 tot 15 year,2027,172.00000000000003,6.666666666666686,6.666666666666686,OLS
Science Park Noord,Population| Age group |0 tot 15 year,2028,174.00000000000003,6.666666666666686,6.666666666666686,OLS
Science Park Zuid,Population| Age group |0 tot 15 year,2026,10.0,1.7763568394002505e-15,1.7763568394002505e-15,EXP
Science Park Zuid,Population| Age group |0 tot 15 year,2027,10.0,1.7763568394002505e-15,1.7763568394002505e-15,EXP
Science Park Zuid,Population| Age group |0 tot 15 year,2028,10.0,1.7763568394002505e-15,1.7763568394002505e-15,EXP
Sloter-/Riekerpolder,Population| Age group |0 tot 15 year,2026,2090.0000009685755,64.99999903142452,64.99999903142452,EXP
Sloter-/Riekerpolder,Population| Age group |0 tot 15 year,2027,2090.0000009685755,64.99999903142452,64.99999903142452,EXP
Sloter-/Riekerpolder,Population| Age group |0 tot 15 year,2028,2090.0000009685755,64.99999903142452,64.99999903142452,EXP
Sloterdijk,Population| Age group |0 tot 15 year,2026,55.0,0.0,0.0,Drift
