Districts & Neigbourhoods,Type of region,Regioncode,Total population,Man,Woman,Population| Age group |0 tot 15 year,Population| Age group |15 tot 25 year,Population| Age group |25 tot 45 year,Population| Age group |45 tot 65 year,Population| Age group |65+ year,Births,Deaths,Total households,Single-person households,Households without children,Households with children,Average household size,Care|Young people receiving youth care,Healthcare|Wmo clients,ZIPcode,Year,children_0_15,youth_15_25,families_children,elderly_65_plus,single_households_ind,youth_care_users,wmo_users,youth_care_rate,wmo_rate,children_0_15_growth,youth_15_25_growth,elderly_65_plus_growth,families_children_growth,single_households_ind_growth
Frederik Hendrikbuurt,District,WK036316,8280.0,4160.0,4125.0,785.0,655.0,3815.0,2030.0,990.0,115.0,65.0,5155.0,3180.0,1180.0,795.0,1.6,100.0,545.0,0.0,2020,785.0,655.0,795.0,990.0,3180.0,100.0,545.0,12.077294685990339,65.82125603864735,,,,,
Frederik Hendrikbuurt,District,WK036316,8270.0,4180.0,4090.0,770.0,710.0,3740.0,2045.0,1000.0,90.0,80.0,5135.0,3115.0,1245.0,775.0,1.6,120.0,600.0,0.0,2021,770.0,710.0,775.0,1000.0,3115.0,120.0,600.0,14.510278113663846,72.55139056831923,-0.019108280254777066,0.08396946564885499,0.010101010101010166,-0.02515723270440251,-0.020440251572327095
Frederik Hendrikbuurt,District,WK036316,8305.0,4185.0,4125.0,715.0,750.0,3725.0,2005.0,1115.0,90.0,100.0,5170.0,3185.0,1240.0,745.0,1.6,120.0,635.0,0.0,2022,715.0,750.0,745.0,1115.0,3185.0,120.0,635.0,14.449127031908489,76.45996387718242,-0.0714285714285714,0.05633802816901401,0.11499999999999999,-0.03870967741935483,0.022471910112359605
Frederik Hendrikbuurt,District,WK0363EJ,8200.0,4165.0,4030.0,675.0,730.0,3660.0,1980.0,1150.0,75.0,95.0,5115.0,3145.0,1250.0,725.0,1.5,125.0,590.0,0.0,2023,675.0,730.0,725.0,1150.0,3145.0,125.0,590.0,15.24390243902439,71.95121951219511,-0.05594405594405594,-0.026666666666666616,0.03139013452914807,-0.02684563758389258,-0.012558869701726816
Frederik Hendrikbuurt,District,WK0363EJ,8270.0,4175.0,4095.0,645.0,770.0,3765.0,1930.0,1160.0,85.0,105.0,5200.0,3205.0,1280.0,710.0,1.5,115.0,610.0,0.0,2024,645.0,770.0,710.0,1160.0,3205.0,115.0,610.0,13.905683192261185,73.76058041112455,-0.0444444444444444,0.0547945205479452,0.008695652173912993,-0.020689655172413834,0.019077901430842648
Frederik Hendrikbuurt,District,WK036316,8270.0,4180.0,4090.0,770.0,710.0,3740.0,2045.0,1000.0,90.0,80.0,5135.0,3115.0,1245.0,775.0,1.6,120.0,600.0,0.0,2025,770.0,710.0,775.0,1000.0,3115.0,120.0,600.0,14.510278113663846,72.55139056831923,0.193798449612403,-0.07792207792207795,-0.13793103448275867,0.09154929577464799,-0.02808112324492984
Frederik Hendrikbuurt Noord,Neighbourhood,BU03631600,3855.0,1850.0,2000.0,390.0,340.0,1800.0,885.0,440.0,60.0,30.0,2375.0,1400.0,580.0,400.0,1.6,40.0,200.0,1052.0,2020,390.0,340.0,400.0,440.0,1400.0,40.0,200.0,10.376134889753567,51.880674448767834,,,,,
Frederik Hendrikbuurt Noord,Neighbourhood,BU03631600,3850.0,1845.0,2005.0,380.0,365.0,1770.0,890.0,445.0,55.0,30.0,2360.0,1365.0,615.0,385.0,1.6,45.0,190.0,1052.0,2021,380.0,365.0,385.0,445.0,1365.0,45.0,190.0,11.688311688311689,49.350649350649356,-0.02564102564102566,0.07352941176470584,0.011363636363636465,-0.03749999999999998,-0.025000000000000022
Frederik Hendrikbuurt Noord,Neighbourhood,BU03631600,3860.0,1845.0,2015.0,365.0,400.0,1760.0,880.0,455.0,50.0,25.0,2375.0,1365.0,630.0,375.0,1.6,55.0,195.0,1052.0,2022,365.0,400.0,375.0,455.0,1365.0,55.0,195.0,14.248704663212436,50.51813471502591,-0.03947368421052633,0.09589041095890405,0.022471910112359605,-0.025974025974025983,0.0
Frederik Hendrikbuurt Noord,Neighbourhood,BU03631600,3850.0,1845.0,2005.0,380.0,365.0,1770.0,890.0,445.0,55.0,30.0,2360.0,1365.0,615.0,385.0,1.6,45.0,190.0,1052.0,2025,380.0,365.0,385.0,445.0,1365.0,45.0,190.0,11.688311688311689,49.350649350649356,0.041095890410958846,-0.08750000000000002,-0.02197802197802201,0.026666666666666616,0.0
